OBJECTID,SHAPE,COBAMA,BARRIOVEREDAID,TIPO_MANZANA,NOMBRE_BARRIO,CODIGO_COMUNA,NOMBRE_COMUNA,SHAPE_Length,SHAPE_Area
23,"(837432.5280969582, 1188105.1745463456)",0101024,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,720.323375515661,4978.16323109279
24,"(837888.531635637, 1187763.2329594484)",0110009,0110,MZ,La Esperanza No. 2,01,POPULAR,234.9043917303753,1302.7803691910585
25,"(837205.2557071705, 1188791.228038164)",0103052,0103,MZ,Popular,01,POPULAR,857.4233013068102,4232.853064674989
26,"(837803.7504444226, 1188172.9110440451)",0101079,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,238.01589442972508,2930.792734691536
27,"(837705.95561586, 1188040.5077919944)",0101086,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,213.03160810237617,2060.9404919317335
28,"(837858.9515809362, 1187943.1565087195)",0101006,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,285.88287509985554,3397.022172841857
29,"(837569.6286408018, 1188232.4429332549)",0101096,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,364.48221146212234,2676.517826020737
30,"(837542.8758296664, 1188088.917875377)",0101022,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,165.9557822717344,1292.5629134858077
31,"(836883.8796882916, 1187308.9814986761)",0106030,0106,MZ,Villa Guadalupe,01,POPULAR,477.98390287127177,6008.769673723591
32,"(837157.8897653824, 1188298.1265748418)",0103011,0103,MZ,Popular,01,POPULAR,123.94770943475058,876.6957765039791
33,"(838249.949911104, 1188619.466434833)",0102038,0102,MZ,Santo Domingo Savio No. 2,01,POPULAR,98.52472963804114,447.69823659564145
34,"(836988.9620482139, 1187297.263281221)",0106029,0106,MZ,Villa Guadalupe,01,POPULAR,778.3617338374218,8603.764944618631
35,"(837713.9241466273, 1188860.8178327528)",0101059,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,209.85564468339905,1047.91122891018
36,"(837279.294633516, 1187416.6956763817)",0105020,0105,MZ,Moscú No. 2,01,POPULAR,106.9657412063256,568.5860990153326
37,"(837945.6450354517, 1188128.5845506492)",0101010,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,232.1182652196895,2035.1798651708243
38,"(837309.1332016533, 1188622.1309764911)",0103047,0103,MZ,Popular,01,POPULAR,197.90529577990847,1686.501912884228
39,"(837227.590033147, 1188693.5012486235)",0103035,0103,MZ,Popular,01,POPULAR,893.5714883612585,10721.994209235883
40,"(838001.2794354581, 1188300.741856071)",0101070,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,312.39863889597694,2996.6796366896137
41,"(837200.8598622964, 1187546.0403166914)",0105011,0105,MZ,Moscú No. 2,01,POPULAR,5228.868308253668,21129.78764940469
42,"(837249.1521106227, 1187172.8496113743)",0107013,0107,MZ,San Pablo,01,POPULAR,514.9724086746473,5843.862199291898
43,"(837405.1116553262, 1189082.7390767175)",0103076,0103,MZ,Popular,01,POPULAR,171.2737162386944,1087.1522182271467
44,"(837502.4663489191, 1188004.5226751345)",0101020,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,117.83619056203435,475.19204029475594
45,"(838221.3502054735, 1188030.9204573098)",0111013,0111,MZ,La Avanzada,01,POPULAR,189.81772569976962,1960.1242981632079
46,"(837726.1233881497, 1188114.4440111795)",0101084,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,109.82852765639518,703.003118206808
47,"(833264.3592021834, 1185824.9705036483)",0706001,0706,MZ,La Pilarica,07,ROBLEDO,1837.6316473908307,49942.83619419357
48,"(837289.3079076888, 1188934.4007313994)",0103065,0103,MZ,Popular,01,POPULAR,919.8167603148238,6260.734283149209
49,"(837592.6201611039, 1188291.2347185872)",0101097,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,299.89196603275195,2127.661801691595
50,"(837206.9439930645, 1187885.9749545527)",0104030,0104,MZ,Granizal,01,POPULAR,224.41652325878513,1978.1498752384398
